# val/err	Bayesian	F&C lo	F&C up	F&C sensitivity limit
-3	0.81717	0	0.42	1.96
-2.9	0.83652	0	0.44	1.96
-2.8	0.85667	0	0.45	1.96
-2.7	0.87765	0	0.47	1.96
-2.6	0.89951	0	0.48	1.96
-2.5	0.92229	0	0.5	1.96
-2.4	0.94604	0	0.52	1.96
-2.3	0.97081	0	0.54	1.96
-2.2	0.99665	0	0.56	1.96
-2.1	1.02361	0	0.59	1.96
-2	1.05176	0	0.62	1.96
-1.9	1.08115	0	0.65	1.96
-1.8	1.11184	0	0.68	1.96
-1.7	1.1439	0	0.72	1.96
-1.6	1.17738	0	0.76	1.96
-1.5	1.21235	0	0.81	1.96
-1.4	1.24889	0	0.86	1.96
-1.3	1.28705	0	0.91	1.96
-1.2	1.32691	0	0.97	1.96
-1.1	1.36854	0	1.04	1.96
-1	1.41199	0	1.1	1.96
-0.9	1.45735	0	1.17	1.96
-0.8	1.50466	0	1.25	1.96
-0.7	1.554	0	1.33	1.96
-0.6	1.60541	0	1.41	1.96
-0.5	1.65895	0	1.49	1.96
-0.4	1.71467	0	1.58	1.96
-0.3	1.77261	0	1.67	1.96
-0.2	1.83279	0	1.77	1.96
-0.1	1.89524	0	1.86	1.96
0	1.95996	0	1.96	1.96
0.1	2.02698	0	2.06	2.06
0.2	2.09626	0	2.16	2.16
0.3	2.16779	0	2.26	2.26
0.4	2.24154	0	2.36	2.36
0.5	2.31746	0	2.46	2.46
0.6	2.3955	0	2.56	2.56
0.7	2.47557	0	2.66	2.66
0.8	2.55761	0	2.76	2.76
0.9	2.64151	0	2.86	2.86
1	2.72719	0	2.96	2.96
1.1	2.81452	0	3.06	3.06
1.2	2.9034	0	3.16	3.16
1.3	2.99371	0	3.26	3.26
1.4	3.08533	0	3.36	3.36
1.5	3.17814	0	3.46	3.46
1.6	3.27202	0	3.56	3.56
1.7	3.36685	0.06	3.66	3.66
1.8	3.46253	0.16	3.76	3.76
1.9	3.55894	0.26	3.86	3.86
2	3.65598	0.35	3.96	3.96
2.1	3.75358	0.45	4.06	4.06
2.2	3.85163	0.53	4.16	4.16
2.3	3.95008	0.61	4.26	4.26
2.4	4.04884	0.69	4.36	4.36
2.5	4.14787	0.76	4.46	4.46
2.6	4.24712	0.84	4.56	4.56
2.7	4.34654	0.91	4.66	4.66
2.8	4.44609	0.99	4.76	4.76
2.9	4.54576	1.06	4.86	4.86
3	4.64551	1.14	4.96	4.96
